a	art+m.एक@art+f.एक@art+n.एक
sizes	n+m.आकार
sizing	n+n.आकार ठरवणे@v.आकार देणे
sizzle	v.चर्र आवाज करणे@n+m.चर्र आवाज
sizzling	a.चरचरणारा@v.चरचरत आहे
ska	n+m.स्का
skagway	n+m.स्कॅग्वे
skate	vi.स्केट करणे@n+m.स्केट
skateboard	n+m.स्केटबोर्ड
skateboarding	n+n.स्केटबोर्डिंग
skateboards	n.स्केटबोर्ड
skater	n+m.स्केटर
skaters	n.स्केटर
skates	n+f.स्केट्स@vi.स्केटिंग करतो
skating	n+n.स्केटिंग@v.स्केट करणे
skeet	n+m.स्कीट शूटिंग
skeeter	n+m.स्कीटर@n+m.डास
skeletal	a.कंकालाचा
skeleton	n+m.सांगाडा
skeletons	n.सांगाडे
skelton	n.स्केल्टन
sketch	n+f.रेखाचित्र@vt.चित्र काढणे
sketchbook	n+n.रेखाटनपुस्तक
sketched	v.रेखाटले@a.रेखाटलेला
sketches	n+f.रेखाचित्रे@vt.रेखाटतो
sketching	n+n.रेखाटन@v.रेखाटत आहे
sketchy	a.अस्पष्ट@a.संदिग्ध
skew	vt.तिरपे करणे@a.तिरपा
skewed	a.तिरपा@v.तिरपा केला
skewers	n+f.pl.शिखा@n+m.pl.सळई
ski	n+m.स्की@vi.स्कीइंग करणे
skid	n+m.स्किड@vi.घसरणे
skids	n+m.pl.घसरणे@v.घसरतो
skier	n+m.स्कीयर
skiers	n.स्कीयर
skies	n+n.आकाश
skiff	n+f.छोटी होडी
skiing	n+n.स्कीइंग
skilful	a.कुशल@a.निपुण
skill	n+n.कौशल्य
skilled	a.कुशल@a.निपुण
skillet	n+f.तवा
skilling	n+m.स्किलिंग
skills	n+f.कौशल्ये
skim	vt.वरचा थर काढणे
skimmed	v.वरून काढले@a.सायवेगळे केलेले
skimmer	n+m.स्किमर
skimming	v.तरंगणे@n+n.वरवर वाचणे
skimpy	a.अपुरा
skin	n+f.त्वचा
skincare	n+f.त्वचा काळजी
skinned	a.त्वचा काढलेला
skinner	n.स्किनर
skinning	v.कातडी सोलत आहे@n+n.कातडी सोलणे
skinny	a.अशक्त
skins	n+f.त्वचा@n+m.कातडे
skip	vt.वगळणे@vi.उड्या मारणे
skipped	vt.वगळले
skipper	n+m.कर्णधार
skippers	n+m.कप्तान
skipping	n+n.दोरीवर उड्या मारणे
skippy	n.स्किपी
skips	v.उड्या मारतो@n.उड्या
skirmish	n+f.चकमक@n+m.छोटी झुंज
skirt	n+f.स्कर्ट@n+m.लांगा
skirting	n+f.खालची पट्टी@v.टाळणे
skirts	n+f.स्कर्ट@n+m.घागरा
skis	n+f.स्की
skit	n+m.विनोदी नाटक
skits	n+f.pl.नाटिका@n+m.pl.विनोदी प्रहसन
skittles	n+m.स्किटल्स खेळ
skopje	n.स्कोप्जे
skull	n+f.कवटी
skulls	n.कवट्या
skunk	n+m.स्कंक
sky	n+n.आकाश
skydive	v.स्कायडायव्ह करणे@n+m.आकाश उडी
skydiving	n+n.स्काय डायव्हिंग
skye	n.स्काय
skylark	n+m.स्कायलार्क@v.मजा करणे
skylight	n+f.आकाशातील खिडकी
skylights	n+m+pl.स्कायलाइट
skyline	n+f.आकाशरेषा
skype	n+m.स्काइप
skyrocket	v.आकाशाला भिडणे@n+m.आतषबाजी
skyrocketing	v.आकाशाला भिडणे@a.अचानक वाढणारा
skyscraper	n+m.गगनचुंबी इमारत
skyscrapers	n.गगनचुंबी इमारती
skyway	n+m.आकाश मार्ग
slab	n+f.फरशी
slabs	n.फरशी
slack	a.ढिला@n+f.ढिलाई
slacker	n+m.आळशी
slackers	n+m.आळशी
slacks	n.सैल पँट
slackware	n.स्लॅकवेअर
slag	n+f.धातूमळी@vt.टीका करणे
slain	a.मारलेला
slalom	n+m.स्लालम
slam	vt.जोरात आपटणे@n+m.आपटणे
slammed	vt.जोरात आपटलेला
slammer	n+m.तुरुंग@n+m.जोरात आदळणे
slamming	v.जोरात आपटत आहे@n+n.जोरात आपटणे
slams	vt.जोरात बंद करणे@n.जोरात आवाज
slander	n+f.बदनामी@vt.बदनाम करणे
slang	n+f.अपभाषा
slant	n+m.तिरकसपणा@vi.तिरपा होणे
slanted	a.तिरपा@v.तिरपे केले
slap	vt.थप्पड मारणे@n+f.थप्पड
slapped	v.थप्पड मारली
slapping	v.थप्पड मारत आहे@n+n.थप्पड
slaps	v.थप्पड मारतो@n+f.pl.थप्पड
slapstick	n+m.प्रहसन@a.विनोदी
slash	vt.कापणे@n+f.तिरकी रेषा
slashdot	n+m.स्लॅशडॉट
slashed	v.कापले@a.कापलेला
slasher	n+m.कापणारा@n+f.भयपट
slashes	n.तिरकी रेषा@v.कापतो
slashing	v.कापत आहे@a.कडक
slat	n+f.पट्टी@n+m.स्लॅट
slate	n+f.पाटी@n+m.स्लेट
slated	a.नियोजित
slater	n.स्लेटर
slates	n+f.पाटी@v.नियोजित करतो
slats	n+f.पट्ट्या@n+m.फळ्या
slaughter	n+f.कत्तल@vt.कत्तल करणे
slaughtered	v.कत्तल केली@a.कत्तल केलेला
slaughterhouse	n+m.कत्तलखाना
slaughtering	v.कत्तल करणे@n+n.हत्या
slave	n+m.गुलाम@n+f.दासी
slavery	n+f.गुलामगिरी
slaves	n+m.गुलाम
slavic	a.स्लाव्हिक
slaw	n+m.स्लॉ@n+f.कोशिंबीर
slay	vt.मारणे
slayer	n+m.वधक
slayers	n+m.pl.मारेकरी
slaying	v.मारत आहे@n+n.हत्या
sld	n.एसएलडी
sleaze	n+f.घाणेरडेपणा@n+m.भ्रष्टाचार
sleazy	a.बदनाम
sled	n+f.घसरगाडी
sledding	n+n.स्लेज चालवणे
sledge	n+f.स्लेज@vi.स्लेजवर जाणे
sledgehammer	n+m.मोठा हातोडा@v.जोरात मारणे
sleds	n+f.pl.बर्फगाड्या
sleek	a.गुळगुळीत
sleep	vi.झोपणे@n+f.झोप
sleeper	n+m.झोपणारा
sleepers	n.झोपणारे@n.स्लीपर
sleepiness	n+f.झोप
sleeping	v.झोपणे@a.झोपलेला@n+f.झोप
sleepless	a.निद्रारहित
sleepover	n+m.रात्रमुक्काम
sleeps	vi.झोपणे@n+f.झोप
sleepwear	n+n.झोपण्याचे कपडे
sleepy	a.झोपाळू
sleet	n+f.बर्फाळ पाऊस@v.बर्फाळ पाऊस पडणे
sleeve	n+f.बाही@n+m.स्लीव्ह
sleeved	a.बाहीचा
sleeveless	a.बिनबाह्यांचा
sleeves	n+f.बाह्या
sleigh	n+f.घसरगाडी
slender	a.बारीक
slept	vi.झोपला
sleuth	n+m.गुप्तहेर@vi.तपास करणे
slew	vt.मारले
slice	n+f.कापली@vt.कापणे
sliced	a.कापलेला
slicer	n+m.कापणारा
slices	n+f.कापे@vt.कापतो
slicing	v.कापत आहे@n+n.कापणे
slick	a.गुळगुळीत@n+m.तेलकट थर
slid	vi.घसरले
slide	n+f.स्लाइड@vi.घसरणे
slider	n+m.स्लायडर
sliders	n.स्लायडर
slides	n+f.स्लाइड@v.सरकतो
slideshow	n+m.स्लाइडशो
slideshows	n.स्लाइडशो
sliding	v.घसरणे@a.सरकणारा
slight	a.किरकोळ@a.थोडा
slightest	a.सर्वात थोडे
slightly	ad.थोडेसे
sligo	n.स्लायगो
slim	a.पातळ@a.सडपातळ
slime	n+m.चिखल
slimline	a.पातळ
slimmer	a.अधिक बारीक@n+m.वजन कमी करणारा
slimming	vt.वजन कमी करणे
slimy	a.चिकट@a.बुळबुळीत
sling	n+f.गोफण@vt.फेकणे
slinger	n+m.गोफणीवाला
slings	n.गोफण@vt.फेकतो
slingshot	n+f.गोफण
slinky	a.तंग@n+m.स्लिंकी
slip	v.घसरणे@n+f.चूक@n+m.स्लिप
slipcase	n+n.स्लिपकेस@n+f.पुस्तक पेटी
slipcover	n+n.स्लिपकव्हर@n+n.सोफा कव्हर
slipcovers	n+m.pl.स्लिपकव्हर
slipknot	n+m.सरकता गाठ
slippage	n+f.घसरण@n+n.घट
slipped	vi.घसरला
slipper	n+f.चप्पल
slippers	n+f.चप्पल
slippery	a.निसरडा
slipping	vi.घसरणे
slips	n+f.चिठ्ठी@vi.घसरतो
slit	n+f.चीर@vt.चिरणे
slither	v.सरपटणे
slits	n.चिरा@v.चिरतो
sliver	n+m.पातळ तुकडा@v.पातळ कापणे
sloan	n+m.स्लोन
sloane	n.स्लोन
slocum	n+m.स्लोकम
slog	v.कठोर परिश्रम करणे@n+m.कठोर परिश्रम
slogan	n+m.घोषवाक्य
slogans	n.घोषणा
sloop	n+f.स्लूप नौका
slop	n+m.सांडपाणी@v.सांडणे
slope	n+f.उतार@v.उतरणे
sloped	a.उतारावरचा@v.उतरले
slopes	n+f.उतार@vi.झुकणे
sloping	a.उतारावरचा@v.उतरत आहे
sloppy	a.निष्काळजी
slot	n+f.स्लॉट
sloth	n+f.आळस@n+m.स्लॉथ
slots	n+f.स्लॉट@n+m.खाच
slotted	a.खाचेदार@v.खाचेत बसवले
slouch	v.वाकणे@n+f.ढिलाई
slough	n+m.दलदल
slovak	a.स्लोव्हाक@n+m.स्लोव्हाक व्यक्ती
slovakia	n+n.स्लोव्हाकिया
slovene	a.स्लोव्हेनियन@n+m.स्लोव्हेनियन व्यक्ती
slovenia	n+n.स्लोव्हेनिया
slovenian	a.स्लोव्हेनियन@n+m.स्लोव्हेनियन
slow	a+m.हळू@a+f.हळू@a+n.हळू@ad.हळूहळू
slowdown	n+f.मंदी
slowed	vt.मंद केले
slower	a.हळू@a.मंद
slowest	a.सर्वात धीमा
slowing	vt.मंद करणे
slowly	ad.हळूहळू@ad.सावकाश
slowness	n+f.मंदपणा@n+m.सावकाशपणा
slows	vt.मंद करणे
sludge	n+f.गाळ
slug	n+m.गोगलगाय@vt.ठोसा मारणे
slugger	n+m.जोरदार मारणारा
sluggish	a.मंद
slugs	n.गोगलगाय@v.ठोसा मारतो
slum	n+f.झोपडपट्टी
slumber	vi.झोपणे@n+f.झोप
slump	n+f.मंदी@vi.घसरणे
slumped	v.खाली पडले@a.झुकलेला
slums	n.झोपडपट्ट्या
slung	v.टांगले@a.टांगलेला
slur	v.अस्पष्ट बोलणे@n+f.बदनामी
slurp	vt.चोखून पिणे@n+m.सोसण्याचा आवाज
slurry	n+f.चिखल
slurs	n+f.अपमानकारक टिप्पणी@v.अस्पष्ट बोलणे
slush	n+m.चिखल@n+m.बर्फाची चिखल
slut	n+f.व्यभिचारी स्त्री
sluts	n+f.व्यभिचारी स्त्री
slutty	a.व्यभिचारी
sly	a.धूर्त
smack	n+m.थप्पड@vt.थप्पड मारणे
smacked	v.थप्पड मारली@a.मारलेला
smacking	v.चापट मारणे@n+f.चापट
smacks	v.थप्पड मारतो@n+f.pl.थप्पड
small	a+m.लहान@a+f.लहान@a+n.लहान
smaller	a.लहान
smallest	a.सर्वात लहान
smallpox	n+m.देवी
smalltalk	n+m.स्मॉलटॉक
smart	a+m.हुशार@a+f.हुशार@a+n.हुशार
smarter	a.हुशार
smartest	a.सर्वात हुशार
smartly	ad.चतुराईने@ad.नीटनेटकेपणे
smartphone	n+m.स्मार्टफोन
smartphones	n+m.स्मार्टफोन
