the	art+m.o@art+f.a
multiplexed	a+m.multiplexado@a+f.multiplexada
birdman	n+m.homem-pássaro@n+m.ornitólogo
microchips	n+m+pl.microchips
infertile	a+m.infértil@a+f.infértil
tipsy	a+m.alegre@a+f.alegre@a+m.tocado@a+f.tocada
atria	n+m+pl.átrios
layette	n+m.enxoval de bebê
factually	ad.factualmente
sagas	n+f+pl.sagas
cress	n+m.agrião
recognisable	a+m.reconhecível@a+f.reconhecível
neuralgia	n+f.nevralgia
timbre	n+m.timbre
scrotum	n+m.escroto
clasped	v.apertou@a+m.apertado@a+f.apertada
pecking	v.bicando@n+f.bicada
legislated	v.legislou
womanhood	n+f.feminilidade@n+f.condição de mulher
conditionals	n+m+pl.condicionais
crimean	a+m.crimeano@a+f.crimeana
exorbitant	a+m.exorbitante@a+f.exorbitante
valenti	n.Valenti
grieved	v.entristeceu@a+m.entristecido@a+f.entristecida
experimenter	n+m.experimentador@n+f.experimentadora
purveyors	n+m+pl.fornecedores
tallies	n+f+pl.contagens@v.confere
serpents	n+f+pl.serpentes
sniping	v.atirando de emboscada@n+m.tiro de tocaia
enteral	a+m.enteral@a+f.enteral
lanny	n.Lanny
endocarditis	n+f.endocardite
tampered	v.adulterou@v.mexeu indevidamente
severally	ad.separadamente@ad.individualmente
woodworkers	n+m+pl.marceneiros
ficus	n+m.ficus
sawtooth	n+m.dente de serra@a+m.serrilhado@a+f.serrilhada
bedstead	n+f.armação de cama
pravda	n.Pravda
matchbook	n+m.carteira de fósforos
wimp	n+m.fracote@n+m.covarde
bostonian	a+m.bostoniano@a+f.bostoniana@n+m.bostoniano@n+f.bostoniana
whirlpools	n+m+pl.redemoinhos@n+f+pl.banheiras de hidromassagem
caressing	v.acariciando
reliefs	n+m+pl.relevos@n+m+pl.alívios
bathtubs	n+f+pl.banheiras
tassels	n+m+pl.borlas@n+f+pl.franjas
culpa	n+f.culpa
whiter	a+m.mais branco@a+f.mais branca
dalmatians	n+m+pl.dálmatas
froth	n+f.espuma@v.espumar
obliterated	v.obliterou@a+m.obliterado@a+f.obliterada
hammett	n.Hammett
regalia	n+f+pl.insígnias@n+f+pl.regalias
hardbound	a+m.de capa dura@a+f.de capa dura
peerage	n+f.nobreza@n+m.pariato
derma	n+f.derme
deceitful	a+m.enganoso@a+f.enganosa@a+m.traiçoeiro@a+f.traiçoeira
taboos	n+m+pl.tabus
storied	a+m.histórico@a+f.histórica@a+m.lendário@a+f.lendária
disenfranchised	a+m.privado de direitos@a+f.privada de direitos
verbena	n+f.verbena
mandibular	a+m.mandibular@a+f.mandibular
unprofitable	a+m.não lucrativo@a+f.não lucrativa
elvin	n.Elvin
doublet	n+m.gibão@n+m.par
astonishingly	ad.surpreendentemente
cannibalism	n+m.canibalismo
antiqued	a+m.envelhecido@a+f.envelhecida@a+m.antiquado@a+f.antiquada
margret	n.Margret
popularized	v.popularizou@a+m.popularizado@a+f.popularizada
typeset	v.compor tipograficamente@a+m.composto@a+f.composta
chitosan	n+m.quitosana
pretender	n+m.pretendente@n+f.pretendente
mosses	n+m+pl.musgos
boning	v.desossando@n+f.desossa
butterscotch	n+m.caramelo de manteiga
gunslinger	n+m.pistoleiro
livorno	n.Livorno
marl	n+m.marga
subside	v.diminuir@v.acalmar
moos	v.muge@n+m+pl.mugidos
syr	n.Syr
burney	n.Burney
falsification	n+f.falsificação
poltergeist	n+m.poltergeist
modernizing	v.modernizando
conspiring	v.conspirando
officiants	n+m+pl.oficiantes
seabirds	n+f+pl.aves marinhas
retaliate	v.retaliar
deafening	a+m.ensurdecedor@a+f.ensurdecedora
cohabitation	n+f.coabitação
arlo	n.Arlo
frostbite	n+f.queimadura de frio@n+m.congelamento
beleaguered	a+m.sitiado@a+f.sitiada@a+m.assediado@a+f.assediada
jarring	a+m.discordante@a+f.discordante@a+m.chocante@a+f.chocante
wattle	n+f.barbela@n+m.vime entrançado
baptismal	a+m.batismal@a+f.batismal
timaru	n.Timaru
stoles	n+f+pl.estolas
switzer	n.Switzer
magdalen	n.Madalena
managua	n.Manágua
regularization	n+f.regularização
spillage	n+m.derramamento@n+m.vazamento
brackish	a+m.salobro@a+f.salobra
bessel	n.Bessel
tubby	a+m.rechonchudo@a+f.rechonchuda@a+m.gordinho@a+f.gordinha
guar	n+m.guar
glioma	n+m.glioma
oryx	n+m.órix
posen	n.Posen
sedatives	n+m+pl.sedativos
hyperthyroidism	n+m.hipertireoidismo
premenstrual	a+m.pré-menstrual@a+f.pré-menstrual
hyphenated	a+m.hifenizado@a+f.hifenizada
tinsel	n+m.ouropel@n+f.lantejoula
coburg	n.Coburgo
scrutinize	v.escrutinar@v.examinar minuciosamente
adverb	n+m.advérbio
mumbled	v.murmurou@a+m.murmurado@a+f.murmurada
mired	v.atolou@a+m.atolado@a+f.atolada
bishkek	n.Bisqueque
yams	n+m+pl.inhames
breve	n+f.breve
isopropyl	n+m.isopropil@a+m.isopropílico@a+f.isopropílica
potentiometer	n+m.potenciômetro
modigliani	n.Modigliani
mut	n.Mut
schwerin	n.Schwerin
sweatshop	n+f.fábrica de exploração
prospectuses	n+m+pl.prospectos
worthiness	n+f.dignidade@n+m.merecimento
lazily	ad.preguiçosamente
cattery	n+m.gatil
rona	n.Rona
jeepers	int.nossa@int.caramba
foliar	a+m.foliar@a+f.foliar
carnarvon	n.Carnarvon
troposphere	n+f.troposfera
rinks	n+f+pl.pistas de patinação@n+f+pl.rinques
revoking	v.revogando
jailhouse	n+f.cadeia@n+f.prisão
rucksacks	n+f+pl.mochilas
raver	n+m.frequentador de raves@n+f.frequentadora de raves
cuesta	n+f.cuesta
posturing	v.posando@n+f.postura afetada
cantata	n+f.cantata
disarming	a+m.desarmante@a+f.desarmante@v.desarmando
ween	v.supor@v.imaginar
concentrators	n+m+pl.concentradores
castration	n+f.castração
thiamine	n+f.tiamina
woefully	ad.lamentavelmente@ad.deploravelmente
negotiates	v.negocia
promontory	n+m.promontório
shanna	n.Shanna
nachos	n+m+pl.nachos
juridical	a+m.jurídico@a+f.jurídica
hillier	a+m.mais montanhoso@a+f.mais montanhosa
shandy	n+f.cerveja com limonada
smote	v.feriu@v.atingiu
olympians	n+m+pl.olimpianos@n+m+pl.atletas olímpicos
diploid	a+m.diploide@a+f.diploide@n+m.diploide
mountings	n+f+pl.montagens@n+m+pl.suportes
googled	v.pesquisou no Google
pivoting	v.girando@v.pivotando
bernanke	n.Bernanke
toggles	n+m+pl.interruptores@v.alterna
taunting	v.provocando@a+m.provocador@a+f.provocadora
etruscan	a+m.etrusco@a+f.etrusca@n+m.etrusco@n+f.etrusca
outwards	ad.para fora@ad.exteriormente
rend	v.rasgar@v.dilacerar
hezekiah	n.Ezequias
depravity	n+f.depravação
wealthier	a+m.mais rico@a+f.mais rica
bolus	n+m.bolo alimentar@n+m.bolus
calving	v.parindo@n+m.parto de bezerros
disagreeable	a+m.desagradável@a+f.desagradável
bloodline	n+f.linhagem@n+f.linha de sangue
offside	n+m.impedimento@ad.em impedimento
intrauterine	a+m.intrauterino@a+f.intrauterina
sprinkles	n+m+pl.granulados@v.polvilha
shortcoming	n+f.deficiência@n+f.falha
brainchild	n+f.ideia original@n+f.criação
castes	n+f+pl.castas
corrupting	v.corrompendo@a+m.corruptor@a+f.corruptora
massif	n+m.maciço
shrike	n+m.picanço
balloting	n+f.votação@v.votando
murat	n.Murat
kine	n+m+pl.gado@n+f+pl.vacas
dixieland	n.Dixieland
dairies	n+f+pl.leitarias@n+m+pl.laticínios
unadjusted	a+m.não ajustado@a+f.não ajustada
ramsgate	n.Ramsgate
poirot	n.Poirot
biogas	n+m.biogás
ponytail	n+m.rabo de cavalo
angelou	n.Angelou
overtures	n+f+pl.aberturas@n+f+pl.propostas
alcott	n.Alcott
pharaohs	n+m+pl.faraós
fraudulently	ad.fraudulentamente
calendula	n+f.calêndula
mushy	a+m.mole@a+f.mole@a+m.piegas@a+f.piegas
plunges	v.mergulha@n+m+pl.mergulhos
gibberish	n+m.algaravia@n+f.linguagem ininteligível
servos	n+m+pl.servomotores
arbitral	a+m.arbitral@a+f.arbitral
intramuscular	a+m.intramuscular@a+f.intramuscular
dozer	n+f.escavadeira@n+m.trator
sumer	n.Suméria
dreadnought	n+m.dreadnought@n+m.couraçado
tammany	n.Tammany
aseptic	a+m.asséptico@a+f.asséptica
boulevards	n+m+pl.bulevares
redistributing	v.redistribuindo
neurologists	n+m+pl.neurologistas
darken	v.escurecer
defamer	n+m.difamador@n+f.difamadora
supercomputers	n+m+pl.supercomputadores
dowry	n+m.dote
shapers	n+m+pl.modeladores@n+m+pl.formadores
chateaux	n+m+pl.castelos@n+m+pl.palácios
gastritis	n+f.gastrite
skirting	n+m.rodapé@v.contornando
diapering	v.colocando fralda
beatriz	n.Beatriz
gouging	v.escavando@v.extorquindo
adieu	int.adeus@n+m.adeus
gatherer	n+m.coletor@n+f.coletora
slackers	n+m+pl.preguiçosos@n+m+pl.vagabundos
kindling	n+f.lenha fina@v.acendendo
kamchatka	n.Kamchatka
shortlisted	v.pré-selecionou@a+m.pré-selecionado@a+f.pré-selecionada
soweto	n.Soweto
retransmit	v.retransmitir
nondestructive	a+m.não destrutivo@a+f.não destrutiva
spinoza	n.Spinoza
chekhov	n.Tchékhov
affluence	n+f.afluência@n+f.riqueza
salinger	n.Salinger
acyclic	a+m.acíclico@a+f.acíclica
synchronicity	n+f.sincronicidade
passable	a+m.passável@a+f.passável
shouldered	v.assumiu@a+m.com ombros
tumbleweed	n+f.erva-rolante
milligram	n+m.miligrama
dispatchers	n+m+pl.despachantes@n+m+pl.operadores de emergência
craniofacial	a+m.craniofacial@a+f.craniofacial
hilarity	n+f.hilaridade
fulfils	v.cumpre@v.realiza
predominance	n+f.predominância
rufiyaa	n+f.rupia maldiviana
postcolonial	a+m.pós-colonial@a+f.pós-colonial
mitten	n+f.luva sem dedos@n+f.mitene
darjeeling	n.Darjeeling
recirculation	n+f.recirculação
campy	a+m.cafona@a+f.cafona@a+m.exagerado@a+f.exagerada
conquerors	n+m+pl.conquistadores
mauritanian	a+m.mauritano@a+f.mauritana@n+m.mauritano@n+f.mauritana
tamarind	n+m.tamarindo
conceptualization	n+f.conceituação
thar	n.Thar
dalasi	n+m.dalasi
admonition	n+f.admoestação@n+f.advertência
strafford	n.Strafford
perchance	ad.porventura@ad.por acaso
kursk	n.Kursk
tonkin	n.Tonquim
rots	v.apodrece@n+f+pl.podridões
awash	a+m.inundado@a+f.inundada@ad.repleto
heriot	n+m.heriot
demetrius	n.Demétrio
precocious	a+m.precoce@a+f.precoce
rood	n+m.crucifixo@n+f.cruz
sachsen	n.Saxônia
luzon	n.Luzon
moravia	n.Morávia
byzantium	n.Bizâncio
barbs	n+f+pl.farpas@n+m+pl.espinhos
heterozygous	a+m.heterozigoto@a+f.heterozigota
spectrometers	n+m+pl.espectrômetros
repress	v.reprimir
surabaya	n.Surabaya
outstation	n+f.estação remota@n+m.posto avançado
africana	n+f.africana@a+f.africana
moiety	n+f.metade@n+f.porção
landforms	n+f+pl.formas de relevo
steeply	ad.abruptamente@ad.acentuadamente
debunking	v.desmascarando@n+m.desmascaramento
connectedness	n+f.conectividade@n+f.conexão
calibrator	n+m.calibrador
typographic	a+m.tipográfico@a+f.tipográfica
darned	a+m.maldito@a+f.maldita@v.cerzido
ampere	n+m.ampere
peeking	v.espiando
locum	n+m.substituto@n+f.substituta
underweight	a+m.abaixo do peso@a+f.abaixo do peso
denser	a+m.mais denso@a+f.mais densa
dud	n+m.fracasso@n+f.bomba que não explodiu@a+m.imprestável@a+f.imprestável
flamingos	n+m+pl.flamingos
moorland	n+f.charneca
lignin	n+f.lignina
cattlemen	n+m+pl.criadores de gado
bullfrog	n+f.rã-touro
gushers	n+m+pl.poços jorratais@n+m+pl.jatos
pharmacologic	a+m.farmacológico@a+f.farmacológica
coincidences	n+f+pl.coincidências
divinely	ad.divinamente
goldenrod	n+f.vara-de-ouro
debits	n+m+pl.débitos@v.debita
skimmed	v.desnatou@a+m.desnatado@a+f.desnatada
lassie	n+f.menina@n+f.moça
spewing	v.vomitando@v.jorrando
mads	n.Mads
hedonism	n+m.hedonismo
congratulation	n+f.felicitação@n+m.parabéns
erasers	n+f+pl.borrachas
seminaries	n+m+pl.seminários
terabytes	n+m+pl.terabytes
bernese	a+m.bernês@a+f.bernesa
prepackaged	a+m.pré-embalado@a+f.pré-embalada
pumice	n+f.pedra-pomes
sawmills	n+f+pl.serrarias
trotting	v.trotando@n+m.trote
resignations	n+f+pl.renúncias@n+f+pl.demissões
stator	n+m.estator
ambushed	v.emboscou@a+m.emboscado@a+f.emboscada
combing	v.penteando@n+f.penteação
pianists	n+m+pl.pianistas
dovecot	n+m.pombal
indium	n+m.índio
woodcraft	n+f.arte de trabalhar madeira@n+f.técnica de sobrevivência
travesty	n+f.farsa@n+f.paródia
psychopharmacology	n+f.psicofarmacologia
uncoated	a+m.não revestido@a+f.não revestida
gumball	n+f.bola de chiclete
bewildering	a+m.desconcertante@a+f.desconcertante
polarisation	n+f.polarização
hunchback	n+m.corcunda@n+f.corcunda
aback	ad.para trás@ad.surpreendido
pneumatics	n+f.pneumática
deepens	v.aprofunda
blather	v.tagarelar@n+f.tagarelice
enactments	n+f+pl.promulgações@n+f+pl.encenações
castaway	n+m.náufrago@n+f.náufraga@a+m.abandonado@a+f.abandonada
scaly	a+m.escamoso@a+f.escamosa
heaped	v.empilhou@a+m.empilhado@a+f.empilhada
esker	n+m.esker@n+f.crista glacial
minefield	n+m.campo minado
tibetans	n+m+pl.tibetanos@n+f+pl.tibetanas
amniotic	a+m.amniótico@a+f.amniótica
derogation	n+f.derrogação@n+f.depreciação
fantastically	ad.fantasticamente
cobham	n.Cobham
oracles	n+m+pl.oráculos
untied	v.desamarrou@a+m.desamarrado@a+f.desamarrada
scariest	a+m.mais assustador@a+f.mais assustadora
quince	n+m.marmelo
palmtop	n+m.palmtop
profusion	n+f.profusão
gonadotropin	n+f.gonadotrofina
oka	n+f.oca
unordered	a+m.não ordenado@a+f.não ordenada
redefines	v.redefine
conjectures	n+f+pl.conjecturas@v.conjectura
glint	n+m.brilho@n+m.lampejo@v.brilhar
incitement	n+m.incitamento@n+f.incitação
bathrobe	n+m.roupão
afterschool	a+m.pós-escolar@a+f.pós-escolar
hansel	n.Hansel
figuratively	ad.figurativamente
ngultrum	n+m.ngultrum
trickster	n+m.trapaceiro@n+f.trapaceira
superstores	n+f+pl.megalojas
sorceress	n+f.feiticeira
cranked	v.girou a manivela@a+m.acionado@a+f.acionada
stoic	a+m.estoico@a+f.estoica@n+m.estoico@n+f.estoica
resonates	v.ressoa
drugstores	n+f+pl.drogarias@n+f+pl.farmácias
aggressiveness	n+f.agressividade
oscillatory	a+m.oscilatório@a+f.oscilatória
eukaryotes	n+m+pl.eucariotos
footwork	n+m.jogo de pés@n+m.trabalho de base
montane	a+m.montano@a+f.montana
fatigued	a+m.fatigado@a+f.fatigada@a+m.cansado@a+f.cansada
unconsciousness	n+f.inconsciência
videocassette	n+m.videocassete
guacamole	n+m.guacamole
chub	n+m.peixe-carpa
bens	n+m+pl.bens
piecing	v.juntando@v.montando
alums	n+m+pl.ex-alunos
delegating	v.delegando
quarto	n+m.quarto@n+m.formato in-quarto
reactivation	n+f.reativação
heartwood	n+m.cerne@n+m.durâmen
ochoa	n.Ochoa
improvise	v.improvisar
vang	n+m.burro de vela
incipient	a+m.incipiente@a+f.incipiente
underdogs	n+m+pl.azarões@n+m+pl.desfavorecidos
scintillation	n+f.cintilação
colonials	n+m+pl.coloniais@a+m+pl.coloniais
avalanches	n+f+pl.avalanches
helices	n+f+pl.hélices
exclusionary	a+m.excludente@a+f.excludente
crackling	n+m.crepitar@n+m.torresmo@a+m.crepitante@a+f.crepitante
objector	n+m.objetor@n+f.objetora
frankfurter	n+f.salsicha frankfurt
brindle	a+m.malhado@a+f.malhada@n+m.cor malhada
creeds	n+m+pl.credos
outrun	v.ultrapassar correndo
extenuating	a+m.atenuante@a+f.atenuante
tropospheric	a+m.troposférico@a+f.troposférica
blackberries	n+f+pl.amoras
amiss	ad.errado@a+m.errado@a+f.errada
lemongrass	n+m.capim-limão
cavernous	a+m.cavernoso@a+f.cavernosa
brubeck	n.Brubeck
benders	n+f+pl.bebedeiras@n+m+pl.dobradores
scoreless	a+m.sem gol@a+f.sem gol
darlings	n+m+pl.queridos@n+f+pl.queridas
reprieve	n+f.suspensão da pena@v.suspender a pena
seismology	n+f.sismologia
radiometer	n+m.radiômetro
taurine	n+f.taurina@a+m.taurino@a+f.taurina
hyperspace	n+m.hiperespaço
shanty	n+m.barraco@n+f.canção de marinheiros
pluralistic	a+m.pluralista@a+f.pluralista
enforceability	n+f.exequibilidade
formalize	v.formalizar
voided	v.anulou@a+m.anulado@a+f.anulada
rapping	v.batendo@n+m.rap
relaunch	v.relançar@n+m.relançamento
overclock	v.fazer overclock@n+m.overclock
proffered	v.ofereceu@a+m.oferecido@a+f.oferecida
protectionism	n+m.protecionismo
blanking	v.apagando@n+m.corte de chapa
kish	n.Kish
rowena	n.Rowena
phenobarbital	n+m.fenobarbital
diehard	n+m.fanático@n+f.fanática@a+m.irredutível@a+f.irredutível
chickenpox	n+f.catapora@n+f.varicela
photochemical	a+m.fotoquímico@a+f.fotoquímica
flagpole	n+m.mastro de bandeira
livid	a+m.lívido@a+f.lívida@a+m.furioso@a+f.furiosa
distasteful	a+m.desagradável@a+f.desagradável@a+m.de mau gosto@a+f.de mau gosto
delores	n.Delores
distinctively	ad.distintivamente
geezer	n+m.velho@n+m.sujeito
hares	n+f+pl.lebres
overturning	v.derrubando@v.anulando
illegals	n+m+pl.ilegais
swivels	n+m+pl.pivôs@v.gira
pokey	a+m.apertado@a+f.apertada@n+f.cadeia
orthotic	a+m.ortótico@a+f.ortótica@n+m.aparelho ortótico
ringling	n.Ringling
attestation	n+f.atestação@n+f.certificação
bravado	n+f.bravata
overpowering	a+m.avassalador@a+f.avassaladora
ravings	n+m+pl.delírios@n+f+pl.divagações
metroplex	n+m.metroplex@n+f.área metropolitana
childless	a+m.sem filhos@a+f.sem filhos
annecy	n.Annecy
electrifying	a+m.eletrizante@a+f.eletrizante@v.eletrificando
physiotherapists	n+m+pl.fisioterapeutas
belgravia	n.Belgravia
grecian	a+m.grego@a+f.grega
proportioned	a+m.proporcionado@a+f.proporcionada
lavishly	ad.generosamente@ad.luxuosamente
smite	v.golpear@v.ferir
forthright	a+m.franco@a+f.franca@a+m.direto@a+f.direta
foretold	v.predisse@a+m.predito@a+f.predita
dado	n+m.lambri@n+m.dado
engraver	n+m.gravador@n+f.gravadora
saddled	v.selou@a+m.selado@a+f.selada
emphasising	v.enfatizando
chump	n+m.idiota@n+m.tolo
tortures	n+f+pl.torturas@v.tortura
crusts	n+f+pl.crostas
tibial	a+m.tibial@a+f.tibial
flaxseed	n+f.linhaça
trawler	n+m.traineira@n+m.barco de arrasto
bifocal	a+m.bifocal@a+f.bifocal
littlest	a+m.menor@a+f.menor
cadastre	n+m.cadastro
loge	n+m.camarote
presupposes	v.pressupõe
jalisco	n.Jalisco
timekeeping	n+m.cronometragem@n+m.controle de tempo
trickery	n+f.trapaça@n+f.artimanha
adherent	n+m.aderente@n+f.aderente@a+m.aderente@a+f.aderente
kierkegaard	n.Kierkegaard
astrologers	n+m+pl.astrólogos@n+f+pl.astrólogas
lecce	n.Lecce
unsold	a+m.não vendido@a+f.não vendida
vindication	n+f.vindicação@n+f.justificação
opined	v.opinou
scoot	v.sair rapidamente@v.correr
binning	v.colocando em cestos@n+m.agrupamento
bootstrapping	n+m.bootstrapping@n+m.inicialização
falter	v.hesitar@v.vacilar
chatty	a+m.tagarela@a+f.tagarela
auvergne	n.Auvergne
rheology	n+f.reologia
philistines	n+m+pl.filisteus
dostoevsky	n.Dostoiévski
encumbrance	n+m.ônus@n+m.impedimento
retainers	n+m+pl.criados@n+m+pl.seguidores@n+m+pl.honorários
forehand	n+m.forehand@n+m.golpe de direita
cherbourg	n.Cherbourg
imperfection	n+f.imperfeição
bolsters	n+m+pl.travesseiros compridos@v.reforça
elasticities	n+f+pl.elasticidades
sura	n+f.sura
pataca	n+f.pataca
sorrowful	a+m.pesaroso@a+f.pesarosa@a+m.triste@a+f.triste
sachets	n+m+pl.sachês
celebratory	a+m.comemorativo@a+f.comemorativa
timepiece	n+m.relógio
mismatches	n+m+pl.desencontros@n+f+pl.incompatibilidades
loveable	a+m.adorável@a+f.adorável
superconductor	n+m.supercondutor
unchanging	a+m.imutável@a+f.imutável
predominate	v.predominar
tortuga	n.Tortuga
phr	n+f.frase
crisscross	v.entrecruzar@n+m.padrão cruzado@a+m.entrecruzado@a+f.entrecruzada
urethral	a+m.uretral@a+f.uretral
kaiserslautern	n.Kaiserslautern
detonator	n+m.detonador
ionospheric	a+m.ionosférico@a+f.ionosférica
wodehouse	n.Wodehouse
molested	v.molestou@a+m.molestado@a+f.molestada
surv	n+f.sobrevivência
multimillion	a+m.multimilionário@a+f.multimilionária
ingle	n+m.lareira
titres	n+m+pl.títulos@n+m+pl.concentrações
scalpel	n+m.bisturi
faeries	n+f+pl.fadas
bandung	n.Bandung
fascias	n+f+pl.fáscias@n+f+pl.placas de fachada
occam	n.Occam
hyena	n+f.hiena
wedlock	n+m.matrimônio
judaic	a+m.judaico@a+f.judaica
lorie	n.Lorie
erstwhile	a+m.antigo@a+f.antiga@ad.outrora
daffy	a+m.maluco@a+f.maluca@a+m.abobalhado@a+f.abobalhada
soph	n+m.segundo-anista@n+f.segundo-anista
obtuse	a+m.obtuso@a+f.obtusa
caudal	a+m.caudal@a+f.caudal
sextet	n+m.sexteto
whitefield	n.Whitefield
sternly	ad.severamente
chanted	v.entoou@a+m.entoado@a+f.entoada
blurs	v.embaça@n+f+pl.manchas borradas
jonson	n.Jonson
savour	v.saborear@n+m.sabor
stabs	n+f+pl.facadas@v.apunhala
blacklight	n+f.luz negra
derick	n.Derick
modeller	n+m.modelador@n+f.modeladora
delimiters	n+m+pl.delimitadores
indecency	n+f.indecência
lupine	a+m.lupino@a+f.lupina@n+m.tremoço
lingered	v.demorou-se@v.permaneceu
feasting	v.banqueteando@n+m.banquete
decapitated	v.decapitou@a+m.decapitado@a+f.decapitada
gourde	n+f.gourde
roadblock	n+f.barreira na estrada@n+m.bloqueio
suffocation	n+f.sufocação@n+m.sufocamento
indemnified	v.indenizou@a+m.indenizado@a+f.indenizada
lollipops	n+m+pl.pirulitos
gilson	n.Gilson
telepathy	n+f.telepatia
microseconds	n+m+pl.microssegundos
softest	a+m.mais macio@a+f.mais macia
sniffed	v.cheirou@v.farejou
luftwaffe	n.Luftwaffe
lurks	v.espreita
liquidate	v.liquidar
shoplifting	n+m.furto em loja
babbler	n+m.tagarela@n+f.tagarela
tenses	n+m+pl.tempos verbais@v.tensiona
lawlessness	n+f.ilegalidade@n+f.anarquia
eeyore	n.Eeyore
tightens	v.aperta
spooks	n+m+pl.espiões@n+m+pl.fantasmas@v.assusta
pyrene	n+m.pireno
bernoulli	n.Bernoulli
prefab	n+m.pré-fabricado@a+m.pré-fabricado@a+f.pré-fabricada
recollect	v.recordar@v.lembrar
postmortem	n+f.autópsia@a+m.pós-morte@a+f.pós-morte
outnumber	v.superar em número
provocateur	n+m.provocador@n+f.provocadora
rewrote	v.reescreveu
reconfigured	v.reconfigurou@a+m.reconfigurado@a+f.reconfigurada
unionized	a+m.sindicalizado@a+f.sindicalizada@v.sindicalizou
projectiles	n+m+pl.projéteis
oran	n.Orã
larch	n+m.lariço
yeasts	n+m+pl.fermentos@n+f+pl.leveduras
floridian	a+m.floridiano@a+f.floridiana@n+m.floridiano@n+f.floridiana
interrogatories	n+m+pl.interrogatórios
interrogations	n+m+pl.interrogatórios@n+f+pl.interrogações
muttering	v.resmungando@n+m.resmungo
seafloor	n+m.fundo do mar
whet	v.afiar@v.aguçar
prefrontal	a+m.pré-frontal@a+f.pré-frontal
sics	v.instiga@v.ataca
hitchhikers	n+m+pl.caroneiros@n+f+pl.caroneiras
proliferating	v.proliferando
acceptances	n+f+pl.aceitações
discussant	n+m.debatedor@n+f.debatedora
situs	n+m.sítio@n+m.local
impatiently	ad.impacientemente
gatekeepers	n+m+pl.porteiros@n+m+pl.guardiões
buffing	v.polindo@n+m.polimento
suspecting	v.suspeitando
physio	n+f.fisioterapia@n+m.fisioterapeuta@n+f.fisioterapeuta
boles	n+m+pl.troncos de árvore
recife	n.Recife
recharged	v.recarregou@a+m.recarregado@a+f.recarregada
aline	n.Aline
disjointed	a+m.desarticulado@a+f.desarticulada@a+m.desconexo@a+f.desconexa
seizes	v.apreende@v.agarra
