آب	n+m.abe
مُعقِّم	n+m.sanitizer
مُعقّم	a.disinfectant
مُعلَن	a.professed@a.publicised
مُعلَن عنه	a.advertised
مُعلَّق	a.pinup
مُعلَّم	a.bookmarked
مُعلَّم بحروف	a.monogrammed
مُعلِّم	n+m.preceptor
مُعلِّم خاص	n+m.tutor
مُعمَّد	a.christened
مُعمَّق	a.deepened
مُعولَم	a.globalized
مُعوَّض	a.indemnified
مُعيب	a.reprehensible
مُعيدو تدوير	n+m.recyclers
مُعيق	n+m.handicapper@a.obstructing@a.hindering
مُعيَّن	n+m.appointee
مُعِد	n+m.preparer
مُغبَّر	a.dusted
مُغذٍ	n+m.feeder
مُغذٍّ	a.nourishing@a.nutritive
مُغذّى	a.nourished
مُغربَل	a.sifted
مُغرٍ	a.inviting@a.alluring@a.tantalizing
مُغرَس	a.instilled
مُغرَم	a.smitten@a.gaga
مُغرَم بالخيل	a.horsey
مُغطى بالثلج	a.snowed
مُغطى بالخبز المفتت	a.breaded
مُغطى بالنباتات	a.overgrown@a.vegetated
مُغطى بقشرة	a.encrusted
مُغطَّى	a.overlaid
مُغلَق	a.latched
مُغلَّف	a.encased@a.cased@a.enveloped
مُغير	n+m.marauder
مُغيِّر	n+m.changer
مُفاقم	a.aggravating
مُفترَض	a.postulated
مُفجع	a.harrowing
مُفجَّر	a.detonated
مُفحوص	a.screened
مُفرط النشاط	a.hyperactive@a.overactive
مُفرَز	a.excreted
مُفرَط الأجر	a.overpaid
مُفرَط في استخدامه	a.overused
مُفرَّش بالسجاد	a.carpeted
مُفرَّغ	a.deflated
مُفرِط	a.inordinate
مُفرّق	a.divisive
مُفسِد	a.corrupting
مُفشى	a.divulged
مُفصَّل	a.tailored@a.elaborate@a.jointed@a.nuanced
مُفضَّل	a.fancied
مُفقَّس	a.hatched
مُفكَّك	a.dismantled@a.unbundled@a.disaggregated@a.disjointed@a.disassembled
مُفكِّر	a.pensive
مُفكِّك شيفرة	n+m.decoder
مُفهرس	n+m.indexer
مُفهرَس	a.catalogued
مُفوتَر	a.invoiced
مُفوَّض	a.devolved
مُقابَل	n+m.interviewee
مُقارِنات	n+f.comparators
مُقبل	a.oncoming
مُقترح	n+m.proposer
مُقترنات	n+f.conjugates
مُقتصد	a.sparing
مُقتلَع	a.uprooted
مُقحَم	a.interpolated
مُقدَّس	a.enshrined@a.hallowed@a.sanctified
مُقدَّم	a.tendered
مُقدَّم عريضة	a.petitioned
مُقدِّم	n+m.presenter
مُقدِّم طلب	n+m.petitioner
مُقدِّم عطاء	n+m.tenderer
مُقدِّمون	n+m.submitters
مُقدّمو ملفات	n+m.filers
مُقرر	n+m.arbiter
مُقرقع	a.rattling
مُقرَّر	a.decreed
مُقرِف	a.sickening
مُقزز	a.gory@a.repulsive@a.sickening
مُقزِّز	a.distasteful@a.revolting
مُقسَّم لأربعة	a.quartered
مُقشَّر	a.crusted@a.barked
مُقشِّر	a.exfoliating@n+m.scaler@n+m.husker
مُقصى	a.sidelined
مُقصَّر	a.shorted
مُقطَّر	n+m.distillate
مُقطَّع	a.chopped
مُقطِّر	n+m.distiller
مُقطِّرون	n+m.distillers
مُقطّع	n+m.slicer
مُقعَّر	a.cupped
مُقلق	a.unsettling@a.distressing@a.worrisome
مُقلَّد	a.imitated
مُقلَّص	a.curtailed
مُقلَّص مسبقاً	a.preshrunk
مُقلَّل	a.minimised
مُقلَّل قيمته	a.undervalued
مُقلَّل من قيمته	a.underrated
مُقلَّم	a.pruned
مُقلِق	a.disturbing@a.disconcerting
مُقلِّد	a.imitating
مُقلّدون	n+m.mimics@n+m.imitators
مُقنِع	a.compelling
مُقوَّس	a.arching@a.bandy
مُقوِّمات	n+f.rectifiers
مُقيم	a.domiciled
مُقيم مؤقت	n+m.sojourner
مُقيَّد	a.hogtied@a.handcuffed@a.cuffed
مُقيِّد	a.constraining@a.confining
مُقيِّس	n+m.scaler
مُقيِّم	n+m.rater
مُقيّمون	n+m.valuers
مُكاثِر	n+m.propagator
مُكبَّر	a.enlarged
مُكبِّر	n+m.enlarger
مُكثَّف	a.condensed@a.thickened
مُكثِّف	a.intensifying
مُكدَّس	a.cluttered@a.heaped
مُكربَن	a.carbonated
مُكرَه	a.coerced
مُكرَّر	a.iterated
مُكرَّس	a.consecrated
مُكرَّم	a.chromed
مُكرِّرات	n+f.iterators
مُكرِّس	a.devoting
مُكشكش	a.ruffled
مُكلور	a.chlorinated
مُكلَّف	a.commissioned
مُكلِف	a.costly
مُكمَّم	a.quantized
مُكمَّن له	a.ambushed
مُكوِّن	n+m.ingredient
مُكيَّف	a.conditioned
مُلبَّد	a.sintered
مُلتزِم	n+m.adherent
مُلتهَم	a.devoured
مُلحق	n+m.adjoint
مُلحِق	a.inflicting
مُلحّ	a.nagging
مُلدَّن	a.annealed
مُلطّف	n+m.softener
مُلغى	a.rescinded@a.voided
مُلغَى	a.overruled
مُلفَّف	a.shrouded
مُلفِّق	n+m.fabricator
مُلقَّب	a.nicknamed
مُلقَّح	a.inoculated
مُلمَّع	a.lacquered
مُلمِّع	n+m.polisher
مُلهِم	a.inspirational@a.inspiring
مُلوِّثون	n+m.polluters
مُلِح	a.insistent
مُلِم	a.conversant
مُلّا	n+m.mullah
مُمارسو العادة السرية	n+m.masturbators
مُمتَز	a.adsorbed
مُمدَّح	a.lauded
مُمدِّدات	n+m.extenders
مُمرَّر	a.scrolled
مُمزَّق	a.mangled
مُمكَّن	a.empowered
مُمكِّنون	n+m.enablers
مُمكّن	n+m.enabler
مُمل	a.tiresome
مُملى	a.dictated
مُموَّل	a.resourced
مُموَّن	a.provisioned
مُميَّز	a.privileged
مُناصَر	a.championed
مُناضِل	n+m.campaigner
مُناقِش	n+m.discussant
مُنبهر	a.bowled
مُنبِّه	a.sobering
مُنتبَه إليه	a.heeded
مُنتحَل	a.spoofed
مُنتشِر	a.popularized
مُنتكِس	a.relapsed
مُنتهَك	a.infringed
مُنجَب	a.sired
مُندمج	a.assimilated
مُندَّب	a.scarred
مُنزعج	a.exasperated
مُنزِع للسلاح	a.disarming
مُنسَّق	a.formatted@a.harmonised
مُنشأ	a.instantiated
مُنشئ	n+m.constructor
مُنشِّط	a.energizing
مُنشِّطات	n+f.activators
مُنظف	n+m.scrubber
مُنظَّم نقابياً	a.unionized
مُنعش	a.reviving@a.invigorating@a.revitalizing
مُنفجر	a.blown
مُنفذ	n+m.enforcer
مُنفَّس	a.vented
مُنفِّر	a.alienating
مُنقذ للحياة	a.lifesaving
مُنقَّط	a.punctuated@a.dotty
مُنكر	n+m.denier
مُنكر للذات	a.selfless
مُنمذِج	n+m.modeller
مُنهٍ	n+m.finisher
مُنهَك	a.exhausted@a.whacked
مُنوَّم	a.hypnotized
مُنوِّر	n+m.illuminator
مُنِع	v.prevented
مُهاجِم	n+m.assailant
مُهان	a.insulted
مُهتدون	n+m.converts
مُهترئ	a.frayed
مُهدد	a.menacing
مُهدرَج	a.hydrogenated
مُهدَر	a.wasted
مُهدَّب	a.fringed
مُهدِّد	a.threatening@a.endangering
مُهدّئ	n+m.sedative@a.sedative
مُهذَّب	a.mannered
مُهر	n+m.pony
مُهرولون	n+m.joggers
مُهرَّب	a.contraband@a.smuggled
مُهرِّب	n+m.smuggler
مُهلك	a.deleterious
مُهمَل	a.deprecated@a.neglected@a.scruffy
مُهمَّش	a.marginalised@a.underprivileged
مُهندَس	a.engineered
مُهور	n+f.foals
مُهيمِن	n+m.dominator
مُهين	a.derogatory@a.demeaning
مُهيّج	n+m.irritant
مُوازٍ	a.paralleled
مُوافق	n+m.approver
مُوبَّخ	a.admonished
مُوحِّد	n+m.consolidator
مُوحِّدون	n+m.consolidators
مُودَع	a.consigned
مُورس	v.exercised
مُوزَّع	a.apportioned
مُوزِّع	n+m.allocator
مُوزِّعون	n+m.dispatchers
مُوسِّم	n+m.tagger
مُوصَّل	a.jointed
مُولَع	n+m.aficionado
مُولَّد	a.engendered
مُوِّل	v.financed@v.resourced
مُوّل	v.funded
مِخرَز	n+m.awl
نا	pron.us
ناءٍ	a.faraway
نائب	n+m.vice@n+m.deputy@n+m.regent
نائب ملك	n+m.viceroy
نائم	a.sleeping@a.asleep@n+m.sleeper@a.dormant
نائمون	n+m.sleepers
نائي	a.outlying
ناب	n+m.canine@n+m.knapp@n+m.fang@n+m.tusk
نابالم	n+m.napalm
نابت	a.sprouted
نابستر	n+m.napster
نابض	a.throbbing@a.pulsating@a.pulsing
نابض بالحياة	a.vibrant@a.lifelike
نابغ	a.precocious
نابغة	n+m.prodigy
نابلس	n+f.nablus
نابليون	n+m.napoleon
نابليوني	a.napoleonic
نابوكوف	n+m.nabokov
نابولي	n+f.naples@a.neapolitan@n+m.neapolitan
نابيسكو	n+f.nabisco
نابيير	n+m.napier
نات	n+m.nat
ناتاشا	n+f.natasha
ناتالي	n+f.natalie
ناتاليا	n+f.natalia
ناتج	a+m.resulting@a.resultant@a.consequent@n+m.outturn
ناتج أيضي	n+m.metabolite
ناتجة	a+f.resulting
ناتشو	n+m.nacho
ناتشوز	n+f.nachos
ناتشيز	n+f.natchez
ناتيك	n+f.natick
ناثان	n+m.nathan
ناثانيل	n+m.nathaniel
ناجح	a+m.successful@a.prosperous@a.fruitful
ناجحة	a+f.successful
ناجحون	n+m.achievers
ناجع	a.efficacious
ناجون	n+m.survivors
ناجٍ	n+m.survivor@a.surviving
ناحوم	n+m.nahum
ناحية	n+f.aspect
ناخب	n+m.voter@n+m.constituent@n+m.elector
ناخبون	n+m.voters@n+m.electors
نادبون	n+m.wailers
نادر	a+m.rare@a.scarce@n+m.nader@n+m.rarity@a.infrequent
نادراً	ad.rarely@ad.seldom@ad.scarcely@ad.infrequently
نادرة	a+f.rare@n+f.anecdote
نادل	n+m.waiter@n+m.barman
نادل بار	n+m.bartender
نادلات	n+f.waitresses
نادلة	n+f.waitress
نادى	v.paged
نادي	n+m.clubhouse
نادية	n+f.nadia
نادين	n+f.nadine
نادٍ	n+m.club
نار	n+f.fire
نار جهنم	n+f.hellfire
نار كبيرة	n+f.bonfire
نار معسكر	n+f.campfire
نارا	n+f.nara
ناراغانسيت	n+f.narragansett
ناردين	n+m.valerian
نارنيا	n+f.narnia
ناري	a.flaming@a.fiery@a.igneous
نازح	a.displaced
نازع	v.contested
نازع الهيدروجين	n+m.dehydrogenase
نازل	a.downward
نازي	n+m.nazi@a.nazi
نازية	n+f.nazism
نازيون	n+m.nazis
ناس	n+m.people@n+m.folks
ناساو	n+f.nassau
ناسب	v.suited
ناسخ	n+m.burner@n+m.scribe@n+m.transcriber
ناسخون	n+m.transcribers
ناسك	n+m.hermit
ناسور	n+f.fistula
ناسٍ	a.oblivious
ناش	n+m.nash
ناشئ	a.emerging@a.arising@a.originating@a.emergent@a.budding@a.fledgling@a.nascent@a.incipient
ناشد	v.appealed
ناشر	n+m.publisher@n+m.spreader@n+m.diffuser@n+m.propagator
ناشرات	n+f.spreaders@n+f.diffusers
ناشرون	n+m.publishers
ناشط	n+m.activist@n+m.campaigner
ناشطة بيئية	n+f.environmentalist
ناشطون	n+m.activists@n+m.campaigners
ناشفيل	n+f.nashville
ناشوا	n+f.nashua
ناصر	n+m.nasser@v.championed
ناصري	n+m.nazarene@a.nazarene
ناضج	a+m.mature@a.grown@a.ripe@a.mellow@a.matures@a.maturing@a.matured
ناضجة	a+f.mature
ناطحات سحاب	n+f.skyscrapers
ناطحة سحاب	n+f.skyscraper
ناطق	n+m.mouthpiece
ناطق بالفرنسية	a.francophone
ناطقون رسميون	n+m.mouthpieces
ناظر	n+m.beholder
ناعم	a+m.soft@a+m.smooth@a.cuddly@a.powdery@a.downy
ناعمة	a+f.soft@a+f.smooth
ناغا	n+m.naga
ناغازاكي	n+f.nagasaki
ناغالاند	n+f.nagaland
ناغانو	n+f.nagano
ناغبور	n+f.nagpur
ناغويا	n+f.nagoya
ناغي	n+m.nagy
نافارا	n+f.navarre
نافارو	n+m.navarro
نافاهو	n+m.navajo
نافاهوي	a.navajo
نافخ	n+m.puffer
نافخ بوق	n+m.hornblower
نافذة	n+f.window
نافذة سقفية	n+f.dormer
نافذة منبثقة	n+f.popup
نافذة منزلقة	n+f.sash
نافر	a.averse
نافع	a.utile
نافورة	n+f.fountain
نافورة حارة	n+m.geyser
ناقد	n+m.critic
ناقش	v.discussed@v.debated
ناقص	prep.minus@a.deficient@a.imperfect@a.fragmentary
ناقص التمثيل	a.underrepresented
ناقص الوزن	a.underweight
ناقض	v.contradicted
ناقل	n+m.carrier@n+m.transporter@n+m.mover@n+m.conveyor@n+m.bearer@n+m.shipper@n+m.hauler
ناقل الملكية	n+m.transferor
ناقل سرعات	n+f.shifter
ناقل عصبي	n+m.neurotransmitter
ناقلات	n+m.transmitters@n+f.transporters@n+f.tankers
ناقلات حركة	n+f.transmissions
ناقلات عصبية	n+f.neurotransmitters
ناقلة	n+f.tanker@n+m.transferase
ناقلون	n+m.carriers@n+m.movers@n+m.transporters@n+m.haulers
ناقلية	n+f.conduction
ناقه	a.convalescent@n+m.convalescent
ناكر للجميل	a.ungrateful
ناكسوس	n+f.naxos
نام	n+m.nam@v.slept
ناما	n+m.nama
ناميبي	a.namibian@n+m.namibian
ناميبيا	n+f.namibia
نامية	a+f.developing
نامٍ	a+m.developing@a.underdeveloped
نامٍ للداخل	a.ingrown
نانت	n+f.nantes
نانتاكيت	n+f.nantucket
نانجينغ	n+f.nanjing
نانس	n+m.nance
نانسي	n+f.nancy
نانيت	n+f.nanette
ناهبون	n+m.looters
ناهض	n+m.riser@n+m.agonist
ناهضون	n+m.risers
ناورو	n+f.nauru
ناوٍ	a.intending
ناي	n+m.fife
نايجل	n+m.nigel
نايرا	n+f.naira
نايك	n+f.nike
نايلز	n+m.niles
نايلون	n+m.nylon@n+m.nylons
نبات	n+m.plant
نبات أخضر	n+m.greenery
نبات معمر	n+m.perennial
نباتات	n+f.plants@n+f.vegetation@n+f.flora@n+f.botanicals
نباتات حولية	n+f.annuals
نباتات متسلقة	n+f.creepers
نباتات معمرة	n+f.perennials
نباتي	a.vegetable@n+m.vegetarian@a.vegetarian@a.botanical@n+m.vegan@a.vegan@a.veggie@a.botanic@a.vegetative
نباتية	n+f.vegetarianism
نباتيون	n+m.vegetarians
نباتيون صرف	n+m.vegans
نباح	n+m.barking@n+m.woof@n+m.yap
نباحات	n+f.barks
نبالة	n+f.nobility
نبت	v.sprouted
نبتة	n+m.wort@n+f.sprout
نبتة عصارية	n+f.succulent
نبتة متسلقة	n+f.creeper
نبتون	n+m.neptune
نبح	v.barked
نبذ	n+f.renunciation
نبذات ترويجية	n+f.blurbs
نبرات خفية	n+f.undertones
نبراسكا	n+f.nebraska
نبرة	n+f.inflection
نبش	v.unearthed@n+m.scavenging
نبض	n+m.pulse@v.pulsed
نبضات	n+f.pulses@n+f.pings@n+f.impulses
نبضات في الثانية	n+f.cps
نبضة في الدقيقة	n+m.bpm
نبضة قلب	n+f.heartbeat
نبضة كهرومغناطيسية	n+m.emp
نبضة هابطة	n+f.downbeat
نبضي	a.pulsed
نبع	n+m.spring
نبل	n+m.nobility
نبلاء	n+m.nobles
نبه	v.alerted@v.cautioned
نبوءات	n+f.prophecies
نبوءة	n+f.oracle@n+f.prophecy
نبوي	a.prophetic
نبي	n+m.prophet
نبيذ	n+m.wine@n+m.vino
نبيذ أحمر	n+m.claret
نبيذات	n+f.wines
نبيل	a.noble@n+m.noble@a.gallant@n+m.nob@n+m.nobleman
نتائج	n+f.results@n+f.scores@n+f.findings@n+f.outcomes@n+f.consequences
نتج	v.resulted@v.stemmed
نترات	n+m.nitrate@n+f.nitrates
نتريت	n+m.nitrite
نتريل	n+m.nitrile
نتسكيب	n+f.netscape
نتف	v.plucked
نتفليكس	n+m.netflix
نتن	a.stinky@n+m.stench@a.stinking
نتوء	n+f.bump@n+m.burr@n+f.jag@n+m.overhang@n+f.promontory
نتوء صخري	n+m.outcrop
نتوءات	n+f.bumps@n+f.humps
نتيجة	n+f.result@n+f.effect@n+f.score@n+f.outcome@n+f.consequence@n+f.payoff@n+m.outgrowth@n+f.upshot
نتيجة طبيعية	n+f.corollary
نتيجي	a.consequential
نتّاف	n+m.plucker
نثر	n+m.prose@v.strewn
نجا	v.survived
نجاة	n+f.survival
نجاح	n+m.success@n+m.hit
نجاحات	n+f.successes
نجار	n+m.carpenter@n+m.joiner@n+m.woodworker
نجارة	n+f.woodworking@n+f.carpentry@n+f.joinery
نجارون	n+m.carpenters
نجاسة	n+f.impurity
نجح	v.succeeded
نجس	a.unclean@a.impure
نجم	n+m.star
نجم القطب	n+m.polaris
نجم رئيسي	n+m.headliner
نجم كبير	n+m.superstar
نجم نابض	n+m.pulsar
نجمات	n+f.divas
نجمة	n+f.star@n+f.asterisk
نجمة بحر	n+f.starfish
نجمة خماسية	n+m.pentagram@n+m.pentacle
نجمة صاعدة	n+f.starlet
نجمي	a.stellar@a.starred@a.astral@a.starry
نجوم	n+f.stars@n+f.asterisks@n+m.luminaries
نجوم رئيسيون	n+m.headliners
نجوم كبار	n+m.superstars
نجومية	n+f.stardom
نجيمات	n+f.starlets
نجّارون	n+m.woodworkers@n+m.joiners
نحات	n+m.carver@n+m.sculptor
نحاتون	n+m.sculptors
نحاس	n+m.copper
نحاس أصفر	n+m.brass
نحاسي	a.brazen
نحت	n+f.sculpture@n+m.carving@v.sculpted@n+m.sculpting
نحتي	a.sculptural
نحس	n+m.jinx
نحل	n+m.bees
نحلة	n+f.bee
نحلة طنانة	n+f.bumblebee
نحلة عسل	n+f.honeybee
نحميا	n+m.nehemiah
نحن	pron.we@pron.nous
نحو	prep.towards@prep.toward@n+m.grammar
نحو الأسفل	ad.downward@ad.downhill@ad.downwards
نحو البحر	ad.seaward
نحو البيت	ad.homeward
نحو الجنوب	ad.southerly
نحو الخارج	ad.outward@ad.outwards
نحو الداخل	ad.inland@ad.inward@ad.inboard@ad.inwards
نحو الشمال	ad.northerly
نحوي	a.grammatical@a.syntactic
نحيب	n+f.sob@n+m.sobbing
نحيبات	n+f.sobs
نحيف	a+m.thin@a.slim@a.lean@a.skinny@a.slimline@a.bony
نحيفة	a+f.thin
نحيل	a.slender@a.gaunt@a.reedy
نخاع	n+m.marrow@n+f.medulla
نخاعي	a.myeloid
نخالة	n+m.bran
نخامي	a.pituitary
نخب	n+f.toast@n+f.elites@n+m.toasting
نخبة	n+f.elite@n+f.cadre
نخبوي	a.elite@a.elitist@n+m.elitist
نخر	n+m.necrosis
نخزة	n+f.poke
نخسات	n+f.pokes
نخلة	n+f.palm
نخيل	n+f.palms
نخيل بالميتو	n+m.palmetto
نداء استغاثة	n+m.mayday
ندب	v.lamented
ندبة	n+f.scar
ندد	v.denounced
ندرة	n+f.scarcity@n+f.rarity@n+f.dearth@n+f.paucity
ندم	n+m.regret@n+m.repentance@n+f.remorse@v.regretted
ندوات	n+f.seminars
ندوات إلكترونية	n+f.webinars
ندوب	n+f.scars
ندوة	n+f.seminar@n+f.symposium@n+f.colloquium
ندوة عبر الإنترنت	n+f.webinar
ندى	n+m.dew
ندي	a.dank
ندّب	v.scarred
نذر	n+m.vow
نذري	a.votive
نذير	n+f.omen@n+m.harbinger
نرجس	n+m.narcissus
نرجس أصفر	n+f.daffodil
نرجسي	a.narcissistic
نرجسيات	n+f.daffodils
نرجسية	n+m.narcissism
نرجيلة	n+f.hookah
نرد	n+f.dice
نرويجي	a.norwegian@n+m.norwegian
نزاع	n+m.conflict@n+m.dispute@n+f.strife@n+m.disputing
نزاعات	n+f.disputes
نزاهة	n+f.integrity
نزع السلاح	n+m.disarmament@v.disarmed
نزع الماء	n+f.dehydration
نزعة استهلاكية	n+f.consumerism
نزعة بيئية	n+f.environmentalism
نزعة عسكرية	n+f.militarism
نزف	v.bled
نزفي	a.hemorrhagic
نزل	n+m.inn@n+m.lodge@n+f.inns@n+f.hostels@n+m.hostel@v.descended@n+f.auberge
نزل طريق	n+m.roadhouse
نزلاء	n+m.inmates
نزلاء داخليون	n+m.boarders
نزلات برد	n+f.colds
نزهات	n+f.hikes@n+f.outings@n+f.picnics
نزهة	n+f.picnic@n+f.hike@n+f.stroll@n+f.outing@n+f.spree@n+f.promenade@n+f.cakewalk
نزوات	n+f.whims
نزوة	n+f.caprice@n+f.whim@n+f.whimsy
نزوع	n+m.propensity
نزول	n+m.descent
نزوي	a.whimsical@a.capricious
نزيف	n+m.bleeding@n+m.bleed@n+m.haemorrhage
نزيفات	n+f.bleeds
نزيل	n+m.inmate@n+m.lodger
نزيل داخلي	n+m.boarder
نساء	n+f.women@n+f.frauen@n+f.broads
نساء شريرات	n+f.vixens
نساجون	n+m.weavers
نساخ	n+m.scribes
نسالة	n+f.lint
نسب	n+f.ratios@v.attributed@n+m.ancestry@n+f.proportions@n+m.pedigree@n+m.lineage@v.imputed@n+m.imputation@n+m.kinship@v.ascribed@n+m.parentage
نسب مئوية	n+f.percentages@n+f.percents
نسبة	n+f.rate@n+f.ratio@n+f.proportion
نسبة الركاب	n+f.ridership
نسبة مئوية	n+f.percent@n+f.percentage@n+f.pct@n+m.percentile
نسبي	a+m.relative@a.relativistic
